Test #,Area,Scenario,Primary Role,Secondary Role,URL (full),Expected UI Message(s),Expected WhatsApp/Notification (if applicable),Photo/GPS Check,Status (PASS/FAIL),Actual UI Message(s),Notification Received (YES/NO),Notification Snippet,Photo Watermark OK (YES/NO),Notes,Screenshot/Link
Test 1,Authentication,Login smoke test (each role),GA Supervisor,GA Staff / Cleaner,https://sigap.suryagroup.app/login,"Login successful, redirected to dashboard",N/A,N/A,,,,,,,
Test 2,Authorization,Unauthorized access (negative),Regular User,,https://sigap.suryagroup.app/facility,403 | This action is unauthorized.,N/A,N/A,,,,,,,
Test 3,Navigation,Facility pages load,GA Supervisor,,"https://sigap.suryagroup.app/facility, /facility/schedules, /facility/tasks, /facility/approvals, /facility/requests",All pages load successfully,N/A,N/A,,,,,,,
Test 4,Schedules,Create daily cleaning schedule,GA Supervisor,,https://sigap.suryagroup.app/facility/schedules/create,Cleaning schedule created successfully.,N/A,N/A,,,,,,,
Test 5,Schedules,Create weekly cleaning schedule,GA Supervisor,,https://sigap.suryagroup.app/facility/schedules/create,Cleaning schedule created successfully.,N/A,N/A,,,,,,,
Test 6,Schedules,Create schedule with validation errors (negative),GA Supervisor,,https://sigap.suryagroup.app/facility/schedules/create,The items field must have at least 1 items.,N/A,N/A,,,,,,,
Test 7,Schedules,View schedule details,GA Staff,,https://sigap.suryagroup.app/facility/schedules/{id},"Schedule details displayed with items, alerts, recent tasks",N/A,N/A,,,,,,,
Test 8,Schedules,Edit existing schedule,GA Supervisor,,https://sigap.suryagroup.app/facility/schedules/{id}/edit,"Cleaning schedule updated successfully. Note: Changes only affect new tasks generated after midnight.",N/A,N/A,,,,,,,
Test 9,Schedules,Delete cleaning schedule,GA Supervisor,,https://sigap.suryagroup.app/facility/schedules/{id}/edit,Cleaning schedule deleted successfully.,N/A,N/A,,,,,,,
Test 10,Tasks,View daily tasks list,GA Staff,,https://sigap.suryagroup.app/facility/tasks,"Tasks displayed with filters working (date, location, status)",N/A,N/A,,,,,,,
Test 11,Tasks,View task details,GA Staff,,https://sigap.suryagroup.app/facility/tasks/{id},"Task details displayed: task number, location, assigned cleaner, status, submission",N/A,N/A,,,,,,,
Test 12,Task Assignment,Bulk reassign tasks,GA Supervisor,,https://sigap.suryagroup.app/facility/tasks (Bulk Reassign),Successfully reassigned {N} task(s).,N/A,N/A,,,,,,,
Test 13,Task Assignment,Bulk reassign with validation error (negative),GA Supervisor,,https://sigap.suryagroup.app/facility/tasks (Bulk Reassign),The to user id field and from user id must be different.,N/A,N/A,,,,,,,
Test 14,Task Execution,Cleaner views My Tasks,Cleaner,,https://sigap.suryagroup.app/facility/tasks/my-tasks,"My tasks displayed, grouped by status",N/A,N/A,,,,,,,
Test 15,Task Execution,Start a cleaning task,Cleaner,,https://sigap.suryagroup.app/facility/tasks/my-tasks,Task started. Please take a before photo.,N/A,N/A,,,,,,,
Test 16,Task Execution,Task locking (negative),Cleaner 2,Cleaner 1 (who started),https://sigap.suryagroup.app/facility/tasks/{id}/submit,You cannot submit this task.,N/A,N/A,,,,,,,
Test 17,Task Submission,Submit task with before and after photos,Cleaner,,https://sigap.suryagroup.app/facility/tasks/{id}/submit,Task submitted successfully!,N/A,"BEFORE/AFTER watermarks: timestamp, task number, location, cleaner name, GPS",,,,,,,
Test 18,Task Submission,Submit task with missing photos (negative),Cleaner,,https://sigap.suryagroup.app/facility/tasks/{id}/submit,The before photo field is required. / The after photo field is required.,N/A,N/A,,,,,,,
Test 19,Approvals,View pending approvals,GA Staff,,https://sigap.suryagroup.app/facility/approvals,"Approvals list with SLA status (on-time, warning, critical), flagged indicator",N/A,N/A,,,,,,,
Test 20,Approvals,Review and approve a submission,GA Staff,,https://sigap.suryagroup.app/facility/approvals/{id}/review,Submission approved successfully.,N/A,N/A,,,,,,,
Test 21,Approvals,Reject a submission,GA Staff,,https://sigap.suryagroup.app/facility/approvals/{id}/review,Submission rejected.,N/A,N/A,,,,,,,
Test 22,Approvals,Review flagged submission,GA Supervisor,,https://sigap.suryagroup.app/facility/approvals (Flagged Only),Flagged indicator displayed; reviewed_at timestamp set,"WhatsApp: Flagged submission notification to GA Supervisor (task number, location, cleaner)",N/A,,,,,,,
Test 23,Mass Approval,Attempt mass approval without 10% threshold (negative),GA Supervisor,,https://sigap.suryagroup.app/facility/approvals (Mass Approve),You must review at least 10% of flagged tasks before mass approval. Currently reviewed: {X} of {Y} ({Z}%),N/A,N/A,,,,,,,
Test 24,Mass Approval,Mass approve after meeting 10% threshold,GA Supervisor,,https://sigap.suryagroup.app/facility/approvals (Mass Approve),Successfully approved {N} submission(s).,N/A,N/A,,,,,,,
Test 25,Requests,Submit cleaning request as guest (public),Guest/Public User,,https://sigap.suryagroup.app/facility/request,Your request has been submitted successfully! Request number: {CR-YYMMDD-####},N/A,N/A,,,,,,,
Test 26,Requests,Submit repair request as authenticated user,Regular User,,https://sigap.suryagroup.app/facility/request,Your request has been submitted successfully! Request number: {CR-YYMMDD-####},N/A,N/A,,,,,,,
Test 27,Requests,GA staff views requests list,GA Staff,,https://sigap.suryagroup.app/facility/requests,"Requests list with filters (status, type)",N/A,N/A,,,,,,,
Test 28,Requests,Handle cleaning request (convert to task),GA Staff,,https://sigap.suryagroup.app/facility/requests/{id}/handle,Cleaning task created successfully.,"WhatsApp: Task assignment to cleaner (task number, location, item name, scheduled date)",N/A,,,,,,,
Test 29,Requests,Handle repair request (convert to work order),GA Staff,,https://sigap.suryagroup.app/facility/requests/{id}/handle,Work order created successfully in Maintenance module.,N/A,N/A,,,,,,,
Test 30,Alerts,View schedule alerts on dashboard,GA Supervisor,,https://sigap.suryagroup.app/facility,"Unresolved alerts displayed (schedule, asset, alert type)",N/A,N/A,,,,,,,
Test 31,Alerts,Receive WhatsApp notification for schedule alert,GA Staff,,Automated (asset disposal/inactivity),Alert created and displayed,"WhatsApp: Schedule alert (schedule name, asset code/name, alert type)",N/A,,,,,,,
Test 32,Alerts,Resolve schedule alert,GA Supervisor,,https://sigap.suryagroup.app/facility (Resolve Alert),Alert resolved successfully.,N/A,N/A,,,,,,,
Test 33,Notifications,Task reminder notification,Cleaner,,Automated (cron: cleaning:send-reminders),N/A,"WhatsApp: Task reminder (task number, location, item name, scheduled time)",N/A,,,,,,,
Test 34,Notifications,Missed tasks alert notification,GA Supervisor,,Automated (cron: cleaning:generate-tasks),N/A,"WhatsApp: Missed tasks alert (date, task numbers, locations, cleaners)",N/A,,,,,,,
Test 35,Notifications,WhatsApp fallback to Pushover,GA Supervisor,,Automated (WhatsApp failure),N/A,"Pushover: WhatsApp Failure notification (Chat ID, original message)",N/A,,,,,,,
Test 36,Dashboard,View facility dashboard,GA Supervisor,,https://sigap.suryagroup.app/facility,"Dashboard widgets: cleaner ranking, completion stats, SLA stats, tasks by location, pending approvals, alerts, weekly trend",N/A,N/A,,,,,,,
Test 37,Reports,View daily report,GA Staff,,https://sigap.suryagroup.app/reports/facility/daily,"Daily report displayed: tasks grouped by location, completion status",N/A,N/A,,,,,,,
Test 38,Reports,Export daily report to PDF,GA Staff,,https://sigap.suryagroup.app/reports/facility/daily (Export PDF),PDF file downloads: facility-daily-report-{date}.pdf,N/A,N/A,,,,,,,
Test 39,Reports,View weekly report,GA Staff,,https://sigap.suryagroup.app/reports/facility/weekly,"Weekly report displayed: aggregated stats, completion rates by day/location/cleaner",N/A,N/A,,,,,,,
Test 40,Reports,Export weekly report to PDF,GA Staff,,https://sigap.suryagroup.app/reports/facility/weekly (Export PDF),PDF file downloads: facility-weekly-report-{week}.pdf,N/A,N/A,,,,,,,
